id,title,depth,href
16.1,Introduction,2.0,http://r4ds.had.co.nz/dates-and-times.html#introduction-10
16.2,Creating date/times,2.0,http://r4ds.had.co.nz/dates-and-times.html#creating-datetimes
16.3,Date-time components,2.0,http://r4ds.had.co.nz/dates-and-times.html#date-time-components
16.4,Time spans,2.0,http://r4ds.had.co.nz/dates-and-times.html#time-spans
16.5,Time zones,2.0,http://r4ds.had.co.nz/dates-and-times.html#time-zones
17,Introduction,1.0,http://r4ds.had.co.nz/program-intro.html
17.1,Learning more,2.0,http://r4ds.had.co.nz/program-intro.html#learning-more-1
18,Pipes,1.0,http://r4ds.had.co.nz/pipes.html
18.1,Introduction,2.0,http://r4ds.had.co.nz/pipes.html#introduction-11
18.2,Piping alternatives,2.0,http://r4ds.had.co.nz/pipes.html#piping-alternatives
18.3,When not to use the pipe,2.0,http://r4ds.had.co.nz/pipes.html#when-not-to-use-the-pipe
18.4,Other tools from magrittr,2.0,http://r4ds.had.co.nz/pipes.html#other-tools-from-magrittr
19,Functions,1.0,http://r4ds.had.co.nz/functions.html
19.1,Introduction,2.0,http://r4ds.had.co.nz/functions.html#introduction-12
19.2,When should you write a function?,2.0,http://r4ds.had.co.nz/functions.html#when-should-you-write-a-function
19.3,Functions are for humans and computers,2.0,http://r4ds.had.co.nz/functions.html#functions-are-for-humans-and-computers
19.4,Conditional execution,2.0,http://r4ds.had.co.nz/functions.html#conditional-execution
19.5,Function arguments,2.0,http://r4ds.had.co.nz/functions.html#function-arguments
19.6,Return values,2.0,http://r4ds.had.co.nz/functions.html#return-values
19.7,Environment,2.0,http://r4ds.had.co.nz/functions.html#environment
20,Vectors,1.0,http://r4ds.had.co.nz/vectors.html
20.1,Introduction,2.0,http://r4ds.had.co.nz/vectors.html#introduction-13
20.2,Vector basics,2.0,http://r4ds.had.co.nz/vectors.html#vector-basics
20.3,Important types of atomic vector,2.0,http://r4ds.had.co.nz/vectors.html#important-types-of-atomic-vector
20.4,Using atomic vectors,2.0,http://r4ds.had.co.nz/vectors.html#using-atomic-vectors
20.5,Recursive vectors (lists),2.0,http://r4ds.had.co.nz/vectors.html#lists
20.6,Attributes,2.0,http://r4ds.had.co.nz/vectors.html#attributes
20.7,Augmented vectors,2.0,http://r4ds.had.co.nz/vectors.html#augmented-vectors
21,Iteration,1.0,http://r4ds.had.co.nz/iteration.html
21.1,Introduction,2.0,http://r4ds.had.co.nz/iteration.html#introduction-14
21.2,For loops,2.0,http://r4ds.had.co.nz/iteration.html#for-loops
21.3,For loop variations,2.0,http://r4ds.had.co.nz/iteration.html#for-loop-variations
21.4,For loops vs. functionals,2.0,http://r4ds.had.co.nz/iteration.html#for-loops-vs.functionals
21.5,The map functions,2.0,http://r4ds.had.co.nz/iteration.html#the-map-functions
21.6,Dealing with failure,2.0,http://r4ds.had.co.nz/iteration.html#dealing-with-failure
21.7,Mapping over multiple arguments,2.0,http://r4ds.had.co.nz/iteration.html#mapping-over-multiple-arguments
21.8,Walk,2.0,http://r4ds.had.co.nz/iteration.html#walk
21.9,Other patterns of for loops,2.0,http://r4ds.had.co.nz/iteration.html#other-patterns-of-for-loops
22,Introduction,1.0,http://r4ds.had.co.nz/model-intro.html
22.1,Hypothesis generation vs. hypothesis confirmation,2.0,http://r4ds.had.co.nz/model-intro.html#hypothesis-generation-vs.hypothesis-confirmation
23,Model basics,1.0,http://r4ds.had.co.nz/model-basics.html
23.1,Introduction,2.0,http://r4ds.had.co.nz/model-basics.html#introduction-15
23.2,A simple model,2.0,http://r4ds.had.co.nz/model-basics.html#a-simple-model
23.3,Visualising models,2.0,http://r4ds.had.co.nz/model-basics.html#visualising-models
23.4,Formulas and model families,2.0,http://r4ds.had.co.nz/model-basics.html#formulas-and-model-families
23.5,Missing values,2.0,http://r4ds.had.co.nz/model-basics.html#missing-values-5
23.6,Other model families,2.0,http://r4ds.had.co.nz/model-basics.html#other-model-families
24,Model building,1.0,http://r4ds.had.co.nz/model-building.html
24.1,Introduction,2.0,http://r4ds.had.co.nz/model-building.html#introduction-16
24.2,Why are low quality diamonds more expensive?,2.0,http://r4ds.had.co.nz/model-building.html#diamond-prices
24.3,What affects the number of daily flights?,2.0,http://r4ds.had.co.nz/model-building.html#what-affects-the-number-of-daily-flights
24.4,Learning more about models,2.0,http://r4ds.had.co.nz/model-building.html#learning-more-about-models
25,Many models,1.0,http://r4ds.had.co.nz/many-models.html
25.1,Introduction,2.0,http://r4ds.had.co.nz/many-models.html#introduction-17
25.2,gapminder,2.0,http://r4ds.had.co.nz/many-models.html#gapminder
25.3,List-columns,2.0,http://r4ds.had.co.nz/many-models.html#list-columns-1
25.4,Creating list-columns,2.0,http://r4ds.had.co.nz/many-models.html#creating-list-columns
25.5,Simplifying list-columns,2.0,http://r4ds.had.co.nz/many-models.html#simplifying-list-columns
25.6,Making tidy data with broom,2.0,http://r4ds.had.co.nz/many-models.html#making-tidy-data-with-broom
26,Introduction,1.0,http://r4ds.had.co.nz/communicate-intro.html
27,R Markdown,1.0,http://r4ds.had.co.nz/r-markdown.html
27.1,Introduction,2.0,http://r4ds.had.co.nz/r-markdown.html#introduction-18
27.2,R Markdown basics,2.0,http://r4ds.had.co.nz/r-markdown.html#r-markdown-basics
27.3,Text formatting with Markdown,2.0,http://r4ds.had.co.nz/r-markdown.html#text-formatting-with-markdown
27.4,Code chunks,2.0,http://r4ds.had.co.nz/r-markdown.html#code-chunks
27.5,Troubleshooting,2.0,http://r4ds.had.co.nz/r-markdown.html#troubleshooting
27.6,YAML header,2.0,http://r4ds.had.co.nz/r-markdown.html#yaml-header
27.7,Learning more,2.0,http://r4ds.had.co.nz/r-markdown.html#learning-more-2
28,Graphics for communication,1.0,http://r4ds.had.co.nz/graphics-for-communication.html
28.1,Introduction,2.0,http://r4ds.had.co.nz/graphics-for-communication.html#introduction-19
28.2,Label,2.0,http://r4ds.had.co.nz/graphics-for-communication.html#label
28.3,Annotations,2.0,http://r4ds.had.co.nz/graphics-for-communication.html#annotations
28.4,Scales,2.0,http://r4ds.had.co.nz/graphics-for-communication.html#scales
28.5,Zooming,2.0,http://r4ds.had.co.nz/graphics-for-communication.html#zooming
28.6,Themes,2.0,http://r4ds.had.co.nz/graphics-for-communication.html#themes
28.7,Saving your plots,2.0,http://r4ds.had.co.nz/graphics-for-communication.html#saving-your-plots
28.8,Learning more,2.0,http://r4ds.had.co.nz/graphics-for-communication.html#learning-more-3
29,R Markdown formats,1.0,http://r4ds.had.co.nz/r-markdown-formats.html
29.1,Introduction,2.0,http://r4ds.had.co.nz/r-markdown-formats.html#introduction-20
29.2,Output options,2.0,http://r4ds.had.co.nz/r-markdown-formats.html#output-options
29.3,Documents,2.0,http://r4ds.had.co.nz/r-markdown-formats.html#documents
29.4,Notebooks,2.0,http://r4ds.had.co.nz/r-markdown-formats.html#notebooks
29.5,Presentations,2.0,http://r4ds.had.co.nz/r-markdown-formats.html#presentations
29.6,Dashboards,2.0,http://r4ds.had.co.nz/r-markdown-formats.html#dashboards
29.7,Interactivity,2.0,http://r4ds.had.co.nz/r-markdown-formats.html#interactivity
29.8,Websites,2.0,http://r4ds.had.co.nz/r-markdown-formats.html#websites
29.9,Other formats,2.0,http://r4ds.had.co.nz/r-markdown-formats.html#other-formats
29.10,Learning more,2.0,http://r4ds.had.co.nz/r-markdown-formats.html#learning-more-4
30,R Markdown workflow,1.0,http://r4ds.had.co.nz/r-markdown-workflow.html
